 material name: BRASS   


                                           (T)          (K)             Ohm*m
 igrand  nfl  idir        rrr   magnetic field  temperature
 2        1    3       50.000           0.0000      274.000   0.390741E-07
 2        1    3       50.000           0.0000      276.000   0.392222E-07
 2        1    3       50.000           0.0000      278.000   0.393704E-07
 2        1    3       50.000           0.0000      280.000   0.395185E-07
 2        1    3       50.000           0.0000      282.000   0.396667E-07
 2        1    3       50.000           0.0000      284.000   0.398148E-07
 2        1    3       50.000           0.0000      286.000   0.399630E-07
 2        1    3       50.000           0.0000      288.000   0.401111E-07
 2        1    3       50.000           0.0000      290.000   0.402593E-07
 2        1    3       50.000           0.0000      292.000   0.404074E-07
 2        1    3       50.000           0.0000      294.000   0.405556E-07
 2        1    3       50.000           0.0000      296.000   0.407037E-07
 2        1    3       50.000           0.0000      298.000   0.408519E-07
