% Model:              test_10_copia5_v2.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 18 2023, 09:44
% Dimension:          1
% Nodes:              1032
% Expressions:        1
% Description:        Function
% T (K)                   k_solid_residual_resistivity_ratio_of_100_2(T)
1                         163.98339244867998
1.0952089806554852        177.67540969146512
1.2584243760649372        201.29628392130692
1.4216397714743891        225.0973153195826
1.5848551668838127        249.06945147309648
1.7480705622932646        273.2037203653405
1.9112859577027166        297.491230376469
2.0745013531121685        321.9231702833156
2.237716748521592         346.4908092593846
2.4009321439310156        371.1854968748641
2.5641475393404676        395.9986630966171
2.7273629347499195        420.92181828817314
2.8905783301593715        445.94655320974096
3.053793725568795         471.0645390182002
3.217009120978247         496.26752726711834
3.380224516387699         521.5473499067251
3.5434399117971225        546.8959192839252
3.7066553072065744        572.3052281423113
3.869870702615998         597.7673496221338
4.03308609802545          623.2744372603355
4.196301493434902         648.8187249905212
4.359516888844325         674.3925271429711
4.522732284253777         699.9882384446528
4.685947679663229         725.5983340191963
4.849163075072653         751.2153693869067
5.012378470482105         776.8319804647772
5.175593865891528         802.4408835664583
5.33880926130098          828.0348754022933
5.502024656710432         853.6068330792875
5.665240052119856         879.1497141011209
5.828455447529308         904.656556368162
5.99167084293876          930.1204781774412
6.154886238348212         955.5346782226679
6.318101633757635         980.8924355942227
6.481317029167059         1006.1871097791695
6.644532424576511         1031.412140661248
6.807747819985963         1056.561048520863
6.970963215395415         1081.6274340351001
7.134178610804838         1106.6049782777145
7.297394006214262         1131.4874427191457
7.460609401623742         1156.2686692265124
7.623824797033166         1180.9425800635825
7.787040192442618         1205.503177890829
7.950255587852041         1229.9445457653783
8.113470983261493         1254.2608471410492
8.276686378670945         1278.4463258683231
8.439901774080369         1302.4953061943556
8.60311716948982          1326.4021927629908
8.766332564899272         1350.161470614735
8.929547960308696         1373.767705186769
9.092763355718148         1397.215542312962
9.255978751127572         1420.499708223841
9.419194146537023         1443.615009546625
9.582409541946475         1466.5563333051953
9.745624937355899         1489.318646920109
9.908840332765351         1511.8969982086091
10.072055728174803        1534.286515384603
10.235271123584255        1556.482407058676
10.398486518993678        1578.4799622380856
10.561701914403102        1600.2745503267709
10.724917309812554        1621.8616211253473
10.888132705222006        1643.2367048310964
11.051348100631458        1664.3954120379792
11.214563496040881        1685.3334337366284
11.377778891450305        1706.0465413143586
11.540994286859785        1726.5305865551636
11.704209682269209        1746.7815016396894
11.86742507767866         1766.7952991452835
12.030640473088084        1786.56807204595
12.193855868497536        1806.0959937123819
12.357071263906988        1825.3753179119371
12.520286659316412        1844.4023788086495
12.683502054725864        1863.1735909632362
12.846717450135316        1881.6854493330804
13.00993284554474         1899.934529272241
13.173148240954191        1917.9174865314608
13.336363636363615        1935.6310572581451
13.499579031773067        1953.0720579963868
13.662794427182519        1970.237385686944
13.826009822591942        1987.124017667251
13.989225218001394        2003.7290116714253
14.152440613410846        2020.0495058302508
14.315656008820298        2036.0827186711897
14.478871404229722        2051.8259491183753
14.642086799639145        2067.2765764926235
14.805302195048597        2082.4320605114235
14.968517590458049        2097.2899412889337
15.131732985867501        2111.8478393359924
15.294948381276924        2126.103455560109
15.458163776686348        2140.0545712654725
15.621379172095828        2153.6990481529515
15.784594567505252        2167.034828320072
15.947809962914704        2180.059934261054
16.111025358324127        2192.7724688667804
16.27424075373358         2205.170615424818
16.43745614914303         2217.252637619402
16.600671544552455        2229.016879531443
16.763886939961907        2240.4617656385326
16.92710233537136         2251.5858008149303
17.090317730780782        2262.3875703315734
17.253533126190234        2272.8657398560777
17.57996391700911         2292.8463435824874
17.906394707827985        2311.518545268562
18.23282549864689         2328.8745645355057
18.559256289465765        2344.9079073513194
18.88568708028464         2359.6133660308083
19.212117871103544        2372.987019235579
19.53854866192239         2385.0262319740323
19.864979452741295        2395.7296556013803
20.19141024356017         2405.0972278196264
20.517841034379074        2413.1301726775796
20.84427182519795         2419.8310005708477
21.170702616016825        2425.2035082418397
21.4971334068357          2429.252778779765
21.823564197654605        2431.985181620635
22.14999498847348         2433.40837254726
22.313210383882932        2433.6317577103127
22.639641174701808        2433.1082992419674
22.966071965520683        2431.300396083659
23.292502756339587        2428.220206232
23.618933547158434        2423.8811740304054
23.945364337977338        2418.29803016909
24.271795128796214        2411.486791685068
24.598225919615118        2403.464761962157
24.924656710433993        2394.250530730975
25.25108750125287         2376.6161709303615
25.577518292071744        2356.682362158359
25.903949082890648        2336.759513541214
26.230379873709524        2316.847625078931
26.556810664528427        2296.9466967715052
26.883241455347274        2277.0567286189425
27.20967224616618         2257.1777206212364
27.536103036985054        2237.3096727783914
27.862533827803958        2217.4525850904047
28.188964618622833        2197.606457557279
28.51539540944171         2177.771290179013
28.841826200260584        2157.9470829556067
29.168256991079488        2138.133835887058
29.494687781898364        2118.331548973371
29.82111857271724         2098.540222214544
30.147549363536115        2078.759855610576
30.47398015435499         2058.990449161468
30.800410945173894        2039.2320028672177
31.12684173599277         2019.4845167278288
31.453272526811674        1999.747990743298
31.77970331763052         1980.0224249136302
32.106134108449425        1960.3078192388186
32.4325648992683          1940.6041737188684
32.758995690087204        1920.911488353776
33.08542648090608         1901.2297631435454
33.411857271724955        1881.5589980881741
33.73828806254383         1861.8991931876621
34.064718853362734        1842.2503484420085
34.39114964418161         1822.612463851216
34.88079583040994         1793.1761872553889
35.370442016638265        1763.764571007995
35.860088202866564        1734.3776151090378
36.34973438909492         1705.0153195585112
36.83938057532325         1675.6776843564203
37.329026761551575        1646.364709502764
37.81867294777987         1617.076394997543
