 material name: COPPER  


                                           (T)          (K)             Ohm*m
 igrand  nfl  idir        rrr   magnetic field  temperature
 2        1    3      500.000           0.0000      228.000   0.130959E-07
 2        1    3      500.000           0.0000      230.000   0.132052E-07
 2        1    3      500.000           0.0000      232.000   0.133134E-07
 2        1    3      500.000           0.0000      234.000   0.134208E-07
 2        1    3      500.000           0.0000      236.000   0.135271E-07
 2        1    3      500.000           0.0000      238.000   0.136324E-07
 2        1    3      500.000           0.0000      240.000   0.137369E-07
 2        1    3      500.000           0.0000      242.000   0.138403E-07
 2        1    3      500.000           0.0000      244.000   0.139429E-07
 2        1    3      500.000           0.0000      246.000   0.140445E-07
 2        1    3      500.000           0.0000      248.000   0.141452E-07
 2        1    3      500.000           0.0000      250.000   0.142450E-07
 2        1    3      500.000           0.0000      252.000   0.143439E-07
 2        1    3      500.000           0.0000      254.000   0.144419E-07
 2        1    3      500.000           0.0000      256.000   0.145390E-07
 2        1    3      500.000           0.0000      258.000   0.146353E-07
 2        1    3      500.000           0.0000      260.000   0.147307E-07
 2        1    3      500.000           0.0000      262.000   0.148252E-07
 2        1    3      500.000           0.0000      264.000   0.149190E-07
 2        1    3      500.000           0.0000      266.000   0.150119E-07
 2        1    3      500.000           0.0000      268.000   0.151039E-07
 2        1    3      500.000           0.0000      270.000   0.151952E-07
 2        1    3      500.000           0.0000      272.000   0.152857E-07
 2        1    3      500.000           0.0000      274.000   0.153753E-07
 2        1    3      500.000           0.0000      276.000   0.154642E-07
 2        1    3      500.000           0.0000      278.000   0.155523E-07
 2        1    3      500.000           0.0000      280.000   0.156397E-07
 2        1    3      500.000           0.0000      282.000   0.157263E-07
 2        1    3      500.000           0.0000      284.000   0.158121E-07
 2        1    3      500.000           0.0000      286.000   0.158972E-07
 2        1    3      500.000           0.0000      288.000   0.159816E-07
 2        1    3      500.000           0.0000      290.000   0.160652E-07
 2        1    3      500.000           0.0000      292.000   0.161481E-07
 2        1    3      500.000           0.0000      294.000   0.162303E-07
 2        1    3      500.000           0.0000      296.000   0.163119E-07
 2        1    3      500.000           0.0000      298.000   0.163927E-07
 2        1    3      500.000           0.0000      300.000   0.164728E-07
