 material name: BRASS   


                                           (T)          (K)           W/(m*K)
 igrand  nfl  idir        rrr   magnetic field  temperature
 3        1    3       50.000           0.0000      274.000   0.102112E+03
 3        1    3       50.000           0.0000      276.000   0.102473E+03
 3        1    3       50.000           0.0000      278.000   0.102833E+03
 3        1    3       50.000           0.0000      280.000   0.103194E+03
 3        1    3       50.000           0.0000      282.000   0.103555E+03
 3        1    3       50.000           0.0000      284.000   0.103915E+03
 3        1    3       50.000           0.0000      286.000   0.104276E+03
 3        1    3       50.000           0.0000      288.000   0.104636E+03
 3        1    3       50.000           0.0000      290.000   0.104997E+03
 3        1    3       50.000           0.0000      292.000   0.105358E+03
 3        1    3       50.000           0.0000      294.000   0.105718E+03
 3        1    3       50.000           0.0000      296.000   0.106079E+03
 3        1    3       50.000           0.0000      298.000   0.106439E+03
